description,category,type
INVESTMENT IN ASNB UNIT TRUST,Investment,DR
PRUDENTIAL UNIT TRUST INVESTMENT,Investment,DR
LOAN REPAYMENT - HOME LOAN,Other Loans,DR
CAR LOAN REPAYMENT - MAYBANK,Other Loans,DR
HIRE PURCHASE,Other Loans,DR
LOAN REPAYMENT - HOME LOAN,Other Loans,DR
PERODUA CAR LOAN PAYMENT,Other Loans,DR
PYMT FROM A/C  MFB HIRE PURCHASE * 78984338481,Other Loans,CR
DIGITALOCEAN CLOUD HOSTING PAYMENT,Other Fees,DR
DOMAIN HOSTING RENEWAL - EXABYTE MY,Other Fees,DR
FIVERR FREELANCER PAYMENT,Other Fees,DR
PAWSITIVE VET CLINIC PAYMENT,Personal Expenses,DR
PET FOOD PURCHASE - PETALING JAYA PET STORE,Shopping,DR
LEGAL CONSULTATION FEE - AZMAN & CO,Other Fees,DR
HAJJ SAVINGS DEPOSIT - TABUNG HAJI,Deposit,CR
ISLAMIC BOOKSTORE PURCHASE - DARUL WAHAB,Shopping,DR
QURAN CLASS FEES - MADRASAH AL-IHSAN,Education,DR
AEON DIGITAL SHOPPING - APPAREL & ACCESSORIES,Shopping,DR
GIANT ONLINE SHOP - DAILY NECESSITIES,Shopping,DR
LAZADA ONLINE ORDER - ORDER #56789,Shopping,DR
GUARDIAN PHARMACY PURCHASE,Shopping,DR
TESCO HYPERMARKET PURCHASE,Shopping,DR
RAISY WHOLESALE FAMI,Shopping,DR
AL ARAB TEXTILE,Shopping,DR
LOTUS,Shopping,DR
LOTUS's,Shopping,DR
ECONO JAYA,Shopping,DR
MYDIN ONLINE GROCERY PURCHASE - ORDER #12345,Shopping,DR
ONLINE PAYMENT - LOCAL BOUTIQUE ORDER,Shopping,DR
PGMALL ELECTRONICS PURCHASE - ORDER #56789,Shopping,DR
QOO10 ONLINE ORDER - HOME DECOR,Shopping,DR
SALE DEBIT GRABPAY-EC * PETALING JAYA, MY SALE DEBIT,E-Wallet,DR
SHOPEE ONLINE PURCHASE - ORDER #23456,Shopping,DR
SMART SHOPPING APP PAYMENT - ORDER #34567,Shopping,DR
ZALORA FASHION ORDER - ORDER #98765,Shopping,DR
BABY DIAPERS PURCHASE - AEON BIG,Shopping,DR
FAMILY MART BABY PRODUCTS PURCHASE,Shopping,DR
HERMO BEAUTY PRODUCTS ONLINE ORDER,Shopping,DR
L'OCCITANE BEAUTY PRODUCTS PURCHASE,Shopping,DR
PHARMACY PURCHASE - ALFAMART PHARMACY,Shopping,DR
SHOPEE ONLINE SHOPPING ORDER,Shopping,DR
AGODA HOTEL BOOKING - PENANG TRIP,Travel Expenses,DR
MALAYSIA AIRLINES TICKET PURCHASE,Travel Expenses,DR
TRAVEL TICKET PURCHASE - AIRASIA,Travel Expenses,DR
CIMB BANK ONLINE TRANSFER - SAVINGS A/C,Transfer,DR
DUITNOW QR RPP DR 344163 ABANG LAN NASI KERABU,Food,DR
DUITNOW TRSF CR 099446 MASANIS HASSAN EMPIRE PAYMENT,Transfer,CR
IBK FUND TFR FR A/C 4.50 - MOHAMMADZAKIRBINZAI DUITNOW QR,Transfer,DR
MAYBANK ONLINE TRANSFER TO SAVINGS,Transfer,DR
ONLINE TRANSFER FROM FRIEND,Transfer,CR
ONLINE TRANSFER TO SAVINGS ACCOUNT,Transfer,DR
PUBLIC BANK MOBILE TRANSFER - PAYNOW,Transfer,DR
TAKAFUL PREMIUM - ETIQA TAKAFUL,Insurance,DR
BUS TICKET PURCHASE - RAPIDKL,Travel Expenses,DR
KLCC PARKING FEE,Travel Expenses,DR
TNG RFID RELOAD - PLUS HIGHWAY,Travel Expenses,DR
TOLL PAYMENT - PLUS EXPRESSWAY,Travel Expenses,DR
GRAB RIDE PAYMENT - KUALA LUMPUR TO PJ,Travel Expenses,DR
KLIA EKSPRES TICKET PURCHASE,Travel Expenses,DR
CELCOM MOBILE RECHARGE TOP-UP,Utilities,DR
IPOSTPARK BILL PAYMENT,Travel Expenses,DR
MAXIS INTERNET BILL PAYMENT,Utilities,DR
MOBILE RECHARGE TOP-UP,Utilities,DR
MONTHLY UNIFI BILL PAYMENT,Utilities,DR
TUNETALK PREPAID RELOAD,Utilities,DR
UTILITY BILL PAYMENT - ELECTRICITY, TNB,Utilities,DR
MOBILE RECHARGE TOP-UP,Utilities,DR
PHONE BILL PAYMENT - CELCOM,Utilities,DR
GRABPAY DEBIT - ONLINE SHOPPING,E-Wallet,DR
SALE DEBIT GRABPAY-EC * PETALING JAYA, MY SALE DEBIT,E-Wallet,DR
TOUCH 'N GO E-WALLET RELOAD,E-Wallet,DR
PUBLIC BANK CHEQUE DEPOSIT,Deposit,CR
Salary Credit,Primary Income,CR
RENTAL RECEIVABLE - APARTMENT RENT,Other Income,CR
SVG GIRO CR 227.00 - KWSP - CTRL A/C,Deposit,CR
SALARY JAN 2023,Primary Income,CR
MAYBANK ATM WITHDRAWAL KLIA2,Withdrawal,DR
GRAB *RIDE KL15,Travel Expenses,DR
LOTUS'S TAMAN MALURI,Shopping,DR
TNB ELECTRICITY BILL,Utilities,DR
MAXIS BROADBAND,Utilities,DR
SHOPEE PAYMENT #SP2301051,Shopping,DR
TRANSFER TO A/LIM SENG KIT,Transfer,DR
STARBUCKS BANGSAR,Food,DR
PETRONAS BANGSAR SOUTH,Travel Expenses,DR
DIGI POSTPAID BILL,Utilities,DR
FOODPANDA *DELIVERY,Food,DR
CIMB TRANSFER TO A/LIM,Transfer,DR
AEON BIG MID VALLEY,Shopping,DR
PARKING DBKL,Travel Expenses,DR
KFC DAMANSARA,Food,DR
LAZADA PAYMENT #LZ230115,Shopping,DR
WATER BILL SYABAS,Utilities,DR
TOUCH 'N GO RELOAD,E-Wallet,DR
GUARDIAN PHARMACY,Shopping,DR
PARKROYAL HOTEL DINING,Food,DR
SHELL BANGSAR,Travel Expenses,DR
LALAMOVE DELIVERY,Travel Expenses,DR
PADINI CONCEPT STORE,Shopping,DR
ASTRO BILL,Utilities,DR
MCDONALD'S SUNWAY PYRAMID,Food,DR
ZUS COFFEE PJ,Food,DR
GARDENIA BREAD (AUTO DEBIT),Shopping,DR
H&M MID VALLEY,Shopping,DR
GSC CINEMA TICKETS,Entertainment,DR
99 SPEEDMARKET TTDI,Shopping,DR
PTPTN LOAN REPAYMENT,Other Loans,DR
TEALIVE SUNWAY PYRAMID,Food,DR
SALARY FEB 2023,Primary Income,CR
PAYPAL *SPOTIFY,Entertainment,DR
MYNEWS CONVENIENCE STORE,Shopping,DR
IKANO POWER CENTRE PARKING,Travel Expenses,DR
SECRET RECIPE BANGSAR,Food,DR
BOOST TOPUP (E-WALLET),E-Wallet,DR
KK SUPER MART PUCHONG,Shopping,DR
ZAKAT FITRAH PAYMENT,Other Fees,DR
MR DIY PUCHONG UTAMA,Shopping,DR
TNG E-WALLET RELOAD (APP),E-Wallet,DR
PARKSON 1UTAMA,Shopping,DR
PEDI MANIS DESSERT CAFE,Food,DR
POS MALAYSIA REGISTERED POST,Other Fees,DR
UNIQLO MID VALLEY,Shopping,DR
TESCO EXTRA CHERAS,Shopping,DR
BHPETROL PUCHONG JAYA,Travel Expenses,DR
DIGI INTERNET ADD-ON,Utilities,DR
KEDAI RUNCIT KAMAL (QR PAY),Shopping,DR
GAMUDA COVE MAINTENANCE FEE,Other Fees,DR
MAMAK STALL (DINE-IN),Food,DR
PALM SPORTS CENTER MEMBERSHIP,Personal Expenses,DR
LRT KELANA JAYA LINE,Travel Expenses,DR
IPHONE INSTALLMENT (PUBLIC BANK),Other Loans,DR
FAMILY MART TTDI,Shopping,DR
HAIR SALON DAMANSARA,Personal Expenses,DR
MBSB CAR LOAN,Other Loans,DR
MYDIN GROCERY WHOLESALE,Shopping,DR
KPJ HEALTHCARE SPECIALIST VISIT,Personal Expenses,DR
DURIAN BUFFET SS2,Food,DR
SALARY MAR 2023,Primary Income,CR
SUNWAY LAGOON TICKETS,Entertainment,DR
J&T EXPRESS SHIPPING FEE,Other Fees,DR
PASAR MALAM TRADER (QR PAY),Food,DR
CELCOM 5G DATA ADD-ON,Utilities,DR
OLDTOWN WHITE COFFEE,Food,DR
IKANO RETAIL PARK PARKING,Travel Expenses,DR
KIDS' SCHOOL UNIFORM (POPULAR),Education,DR
BR1M (BANTUAN PRIHATIN),Other Income,CR
FELDA MARKET GROCERIES,Shopping,DR
KTM KOMUTER TICKET,Travel Expenses,DR
KEDAI GUNTING HAJI SIDEK,Personal Expenses,DR
EPF SELF-CONTRIBUTION,Other Fees,DR
KLINIK KESIHATAN VISIT,Personal Expenses,DR
PUSAT PENJANAAN SEMULA (RECYCLING),Other Fees,DR
MY AIRASIA SUPER+ PASS,Travel Expenses,DR
POS MALAYSIA MONEY ORDER,Other Fees,DR
RUMAWIP MAINTENANCE FEE,Other Fees,DR
PASAR TANI KAMPUNG GROCERIES,Shopping,DR
BAS DESA KUALA PILAH,Travel Expenses,DR
PTPTN LOAN REPAYMENT,Other Loans,DR
ZAKAT PENDAPATAN,Other Fees,DR
KEDAI BATIK KAMPUNG,Shopping,DR
KLINIK DESA CHECKUP,Personal Expenses,DR
FELCRA FARMERS MARKET,Shopping,DR
PONDOK POLIS TRAFFIC FINE,Other Fees,DR
TELEKOM MALAYSIA RURAL WIFI,Utilities,DR
WAKAF MASJID RENOVATION,Other Fees,DR
PADDY HARVEST Income (SEASONAL),Other Income,CR
SABAH MARKET TUARAN GROCERIES,Shopping,DR
MIRI WATERFRONT PARKING,Travel Expenses,DR
SARAWAK ENERGY BILL,Utilities,DR
FERTILIZER PURCHASE (BANJARAN TITIWANGSA),Shopping,DR
TUNAS IKAN BAKO (SARAWAK FISH MARKET),Food,DR
KOTA KINABALU CITY BUS,Travel Expenses,DR
LANGKAWI FERRY TICKET,Travel Expenses,DR
BUMI LOT RESTAURANT (KUCHING),Food,DR
PESTICIDE SUPPLIES (KEDAH PADDY),Shopping,DR
MASWINGS FLIGHT (KUDAT-KK),Travel Expenses,DR
FISHERMAN'S DAILY CATCH (PENANG),Other Income,CR
SIBU CENTRAL MARKET,Shopping,DR
TERENGGANU BATIK WORKSHOP,Shopping,DR
KELANTAN FISHERMAN CO-OP SHARES,Other Income,CR
LABUAN DUTY-FREE ALCOHOL,Shopping,DR
KUALA PERLIS FERRY TERMINAL,Travel Expenses,DR
SABAH FISH MARKET DAILY SALE,Other Income,CR
SARAWAK TRIBAL CRAFT PURCHASE,Shopping,DR
PULAU KETAM FISHING SUPPLIES,Shopping,DR
MASWINGS FLIGHT (KUDAT-KK),Travel Expenses,DR
FISHERMAN'S DAILY CATCH (PENANG),Other Income,CR
SIBU CENTRAL MARKET,Shopping,DR
TERENGGANU BATIK WORKSHOP,Shopping,DR
KELANTAN FISHERMAN CO-OP SHARES,Other Income,CR
LABUAN DUTY-FREE ALCOHOL,Shopping,DR
KUALA PERLIS FERRY TERMINAL,Travel Expenses,DR
SABAH FISH MARKET DAILY SALE,Other Income,CR
SARAWAK TRIBAL CRAFT PURCHASE,Shopping,DR
PULAU KETAM FISHING SUPPLIES,Shopping,DR
GRAB FOOD DELIVERY EARNING,Other Income,CR
TERENGGANU FISHING BOAT FUEL,Travel Expenses,DR
LAND GRANT (ORANG ASLI SETTLEMENT),Other Income,CR
KEMAMAN FISH AUCTION Income,Other Income,CR
AIRBNB HOSTING (KL CONDO),Other Income,CR
BESUT FISH PROCESSING WORKER,Other Income,CR
LAZADA SELLER PAYOUT,Other Income,CR
TRADITIONAL KELANTAN SILVER CRAFT,Other Income,CR
FREELANCE GRAPHIC DESIGN,Other Income,CR
DUNGUN FISH WHOLESALE,Other Income,CR
GRAB FOOD DELIVERY EARNING,Other Income,CR
TERENGGANU FISHING BOAT FUEL,Travel Expenses,DR
LAND GRANT (ORANG ASLI SETTLEMENT),Other Income,CR
KEMAMAN FISH AUCTION Income,Other Income,CR
AIRBNB HOSTING (KL CONDO),Other Income,CR
BESUT FISH PROCESSING WORKER,Other Income,CR
LAZADA SELLER PAYOUT,Other Income,CR
TRADITIONAL KELANTAN SILVER CRAFT,Other Income,CR
FREELANCE GRAPHIC DESIGN,Other Income,CR
DUNGUN FISH WHOLESALE,Other Income,CR
PETRONAS CARIGALI SALARY,Primary Income,CR
FELDA FFB MONTHLY PRODUCTION,Other Income,CR
KL LAW FIRM BONUS,Other Income,CR
OFFSHORE PLATFORM SUPPLIES,Other Fees,DR
FELDA STORE GROCERIES,Shopping,DR
SAPURA ENERGY CONTRACT PAYMENT,Other Fees,DR
BANK MANAGER SALARY,Primary Income,CR
FELDA FERTILIZER SUBSIDY,Other Income,CR
OIL RIG WORKER OT PAYMENT,Other Income,CR
FELDA CHILD EDUCATION ALLOWANCE,Other Income,CR
PETRONAS RAPID CONTRACTOR PAYMENT,Other Income,CR
SARAWAK OIL PALM HARVESTER,Other Income,CR
TENAGA NASIONAL GLC SALARY,Primary Income,CR
JOHOR SME FACTORY WORKER,Other Income,CR
BINTULU LNG SUBSIDIARY BONUS,Other Income,CR
JELUTONG FISHERMAN CO-OP,Other Income,CR
PENGERANG REFINERY SUPPLIES,Other Fees,DR
NEGERI SEMBILAN RUBBER TAPPER,Other Income,CR
SIME DARBY PLANTATION WAGE,Other Income,CR
PENANG SME ELECTRONICS WORKER,Other Income,CR
GOVERNMENT TEACHER SALARY,Primary Income,CR
LANGKAWI DUTY-FREE SHOPPING,Shopping,DR
PASAR MALAM SATAY VENDOR DEPOSIT,Other Income,CR
REDANG ISLAND RESORT STAFF,Other Income,CR
JPNJ GOVT CLERK SALARY,Primary Income,CR
PANGKOR FISHERMAN DAILY CATCH,Other Income,CR
PASAR MALAM ROTI CANAI SALES,Other Income,CR
TIOMAN DIVING INSTRUCTOR,Other Income,CR
PUTRAJAYA GOVT IT STAFF,Primary Income,CR
PERHENTIAN ISLAND BOAT FUEL,Travel Expenses,DR
GRAB DRIVER Income (E-WALLET),Other Income,CR
AEON BIG GROCERIES (DEBIT CARD),Shopping,DR
MBO CINEMA (PREPAID CARD),Entertainment,DR
PAYPAL FREELANCE Income,Other Income,CR
PASAR PAYONG CASH PURCHASE,Shopping,DR
SHOPEE SELLER PAYOUT (BANK),Other Income,CR
ZUS COFFEE (APP PAYMENT),Food,DR
CASH DEPOSIT (BANK COUNTER),Deposit,CR
TNG HIGHWAY TOLL (RFID),Travel Expenses,DR
PTPTN AUTODEBIT REPAYMENT,Other Loans,DR
ATOME BNPL (SENHENG ELECTRONICS),E-Wallet,DR
BKM AID (BANTUAN KELUANGAN MALAYSIA),Other Income,CR
PUBLIC GOLD INSTALMENT,Other Loans,DR
SPLIT PAY (SHOPEE PAYLATER),E-Wallet,DR
KIJANG EMAS PURCHASE,Shopping,DR
STR (SARA TUNGGAL RAKYAT) AID,Other Income,CR
GX BANK BNPL (IPHONE 15),E-Wallet,DR
MAYBANK GOLD ACCUMULATOR,Investment,DR
PAYUNG COMMUNITY CASH AID,Other Income,CR
LZD PAYLATER (LAZADA),E-Wallet,DR
FUNDAZTECH P2P INTEREST,Investment,CR
LUNO BITCOIN PURCHASE,Investment,DR
ASB DIVIDEND CREDIT,Investment,CR
P2P CAPITAL REDEMPTION,Investment,CR
TOKENIZE ETHEREUM SALE,Investment,CR
PRS UNIT TRUST DIVIDEND,Investment,CR
MODALKITA P2P LOAN,Other Loans,DR
LUNO WALLET WITHDRAWAL,Investment,DR
ASB 2 DIVIDEND,Investment,CR
STAKEFISH P2P REWARDS,Investment,CR
WAHED ISLAMIC PORTFOLIO,Investment,CR
STASHAWAY GENERAL ETF,Investment,CR
LEAP MARKET IPO SUBSCRIPTION,Investment,DR
BIMB ISLAMIC DIVIDEND,Investment,CR
CONVENTIONAL UNIT TRUST FEE,Investment,DR
WAHED HALAL STAKING,Investment,CR
MAYBANK CONVENTIONAL DIVIDEND,Investment,CR
LEAP MARKET ALLOTMENT,Investment,CR
CIMB ISLAMIC SUKUK,Investment,CR
STASHAWAY REBALANCING,Investment,DR
GSC MOVIE TICKETS (TNG eWallet),Entertainment,DR
GENTING SKYCASINO CHIP PURCHASE,Entertainment,DR
SPOTIFY FAMILY PLAN,Entertainment,DR
AIRASIA SUPER+ CONCERT TICKET,Entertainment,DR
IPL CRICKET BETTING (EWALLET),Entertainment,DR
THE WATERFRONT DINING,Food,DR
MAMAK KARAOKE SESSION,Entertainment,DR
NETFLIX PREMIUM PLAN,Entertainment,DR
ESCAPE THEME PARK PENANG,Entertainment,DR
MALAYSIA CUP FINAL TICKET,Entertainment,DR
AIRASIA KUL-BKK PROMO FARE,Travel Expenses,DR
MALINDO AIR KUL-SIN,Travel Expenses,DR
SINGAPORE AIRLINES KUL-LHR,Travel Expenses,DR
BATIK AIR KUL-KCH,Travel Expenses,DR
AIRASIA SUPER+ ANNUAL PASS,Travel Expenses,DR
MALAYSIA AIRLINES KUL-JPN,Travel Expenses,DR
SCOOT KUL-SIN (BUNDLE),Travel Expenses,DR
FIREFLY SUBANG-PENANG,Travel Expenses,DR
AIRASIA BAG ADD-ON,Travel Expenses,DR
MAS HOLIDAYS PACKAGE,Travel Expenses,DR
KLIA2 PREMIUM LOUNGE ACCESS,Travel Expenses,DR
ALLIANZ TRAVEL INSURANCE,Insurance,DR
AIRASIA BIG POINTS REDEMPTION,Cashback,CR
STARBUCKS KLIA2,Food,DR
ENRICH MILES UPGRADE KUL-LHR,Investment,CR
DUTY FREE LIQUOR (LANGKAWI),Shopping,DR
AIRPORT TAXI TO CITY,Travel Expenses,DR
TRAVEL SIM CARD (KLIA),Travel Expenses,DR
MAS GOLDEN LOUNGE PASS,Travel Expenses,DR
AIRASIA SELF CHECK-IN BAG DROP,Travel Expenses,DR
BAS EKSPRES KUALA PERLIS-PENANG,Travel Expenses,DR
TUNE HOTEL LCCT (6H STOPOVER),Travel Expenses,DR
KTM KOMUTER DAY PASS,Travel Expenses,DR
MAMAK MOVIE NIGHT (DVD PIRATED),Entertainment,DR
FAMILY MART AIRPORT MEAL,Food,DR
BUDGET AIRLINE PROMO FARE (KUL-JB),Travel Expenses,DR
PAKATAN TRAVEL BUS KUL-PEN,Travel Expenses,DR
PASAR MALAM TRAVEL SNACKS,Food,DR
PUBLIC PHONE AT AIRPORT,Utilities,DR
TRAVEL MINISTRY SUBSIDY TRIP,Other Income,CR
MY50 UNLIMITED MONTHLY PASS,Travel Expenses,DR
PPR FLAT TO KL SENTRAL (RAPIDKL),Travel Expenses,DR
BANGLADESHI WORKER REMITTANCE,Other Income,CR
KEDAI RUNCIT BANGLA PURCHASE,Shopping,DR
NEPALI WORKER SIM TOPUP,Utilities,DR
PPR COMMUNITY MOVIE NIGHT,Entertainment,DR
INDONESIAN WORKER BANK FEE,Bank Fees,DR
MYBAS JB-SINGAPORE WORK TRIP,Travel Expenses,DR
MAMAK FAIR USAGE (3 HOURS),Food,DR
FOREIGN WORKER PHONE CALL,Utilities,DR
PTPTN STUDENT LOAN DISBURSEMENT,Education,CR
PKNS LOW-COST FLAT RENT,Mortgage,DR
RURAL SARAWAK SCHOOL BUS FEE,Education,DR
E-KASIH FOOD AID VOUCHER,Food,DR
KAMPUNG KEDAI KOPI BREAKFAST,Food,DR
UITM PHOTOCOPY NOTES,Education,DR
STR CASH AID (B40),Other Income,CR
FELDA SCHOOL UNIFORM SUBSIDY,Education,CR
CITY POOR (FLAT SRI PERMAI RENT),Mortgage,DR
RURAL KELANTAN FISHER'S LUNCH,Food,DR
GRABPARTNER WEEKLY EARNINGS,Other Income,CR
ORANG ASLI HANDICRAFT SALE,Other Income,CR
ESTATE WORKER TAPPING BONUS,Other Income,CR
PASAR MALAM TEMPORARY STALL,Other Income,CR
OA SETTLEMENT RICE SUBSIDY,Other Income,CR
KL SENTRAL CAR WASH WORK,Other Fees,DR
RUBBER ESTATE SHOP ADVANCE,Other Income,CR
FREELANCE TAILORING (KAMPUNG),Other Income,CR
KEROPOK LEKO HOME INDUSTRY,Other Income,CR
GOVERNMENT BUS DRIVER OT,Other Income,CR
ROHINGYA HANDYMAN DAILY WAGE,Other Income,CR
KITAR SEMULA (RECYCLING),Other Income,CR
OKU MONTHLY ALLOWANCE,Other Income,CR
REFUGEE CLINIC SUBSIDY FEE,Personal Expenses,DR
WASTE COLLECTOR BIKE REPAIR,Other Fees,DR
OKU WORKSHOP EARNINGS,Other Income,CR
ROHINGYA TAILOR SHOP RENT,Other Income,CR
KARANG GUNI JUNK BUY,Shopping,DR
BLIND MASSAGE THERAPIST,Personal Expenses,DR
REFUGEE CASH TRANSFER HOME,Transfer,CR
SOUP KITCHEN (PERTIWI),Food,DR
STATELESS SCHOOL FEE,Education,DR
PRISON PHONE CREDIT TOPUP,Utilities,DR
KAMPUNG PHOTOCOPY IC,Education,DR
REFUGEE TUTION CENTER FEE,Education,DR
SURAT IKRAR (STATELESS),Other Fees,DR
PRISON CANTEEN DEPOSIT,Deposit,CR
STREET HAWKER PERMIT (ILLEGAL),Other Fees,DR
CHILD VACCINATION (CLINIC),Personal Expenses,DR
NGO SCHOOL BUS SUBSIDY,Education,DR
UNDOCUMENTED BIRTH CERTIFICATE,Other Fees,DR
REFUGEE CAMP WATER TANK,Utilities,DR
STREET CHILD CAR WINDOW WIPE,Other Fees,DR
BIRTH REGISTRATION 'AGENT' FEE,Other Fees,DR
CAMP SOLAR LIGHT CHARGING,Other Fees,DR
FLOWER SELLING (TRAFFIC LIGHT),Other Income,CR
NGO LEGAL AID SUBSIDY,Other Income,CR
REFUGEE CANDLE (NO ELECTRICITY),Other Fees,DR
STREET MUSIC PERFORMANCE,Other Income,CR
COMMUNITY MIDWIFE DELIVERY,Personal Expenses,DR
SALARY OCT 2023,Primary Income,CR
MAYBANK ATM WITHDRAWAL,Withdrawal,DR
LOTUS'S GROCERIES,Shopping,DR
TNB ELECTRIC BILL,Utilities,DR
GRAB RIDE TO WORK,Travel Expenses,DR
SHOPEE PHONE CASE,Shopping,DR
PTPTN LOAN REPAYMENT,Other Loans,DR
MAMAK DINNER,Food,DR
DIGI PREPAID TOPUP,Utilities,DR
POS LAJU POSTAGE,Other Fees,DR
KEDAI RUNCIT CASH PURCHASE,Shopping,DR
MOVIE TICKET (TGV TUESDAY),Entertainment,DR
FAMILY MART BREAKFAST,Food,DR
MYEG ROAD TAX RENEWAL,Other Fees,DR
SHOPEEPAY BILL PAYMENT,Other Fees,DR
